table_name,column_name,data_type,is_nullable
signatures,signer_user_id,uuid,YES
signatures,enrollment_document_id,uuid,NO
signatures,signature_image,text,YES
student_academic_records,observaciones,text,YES
student_academic_records,updated_by,uuid,YES
student_academic_records,created_by,uuid,YES
student_academic_records,updated_at,timestamp with time zone,NO
student_academic_records,created_at,timestamp with time zone,NO
student_academic_records,enrollment_id,uuid,YES
student_academic_records,asistencia_porcentaje,numeric,YES
student_academic_records,curso_id,uuid,NO
student_academic_records,id,uuid,NO
student_academic_records,year_academico,integer,NO
student_academic_records,promedio_anual,numeric,YES
student_academic_records,fecha_termino,date,YES
student_academic_records,student_id,uuid,NO
student_academic_records,estado,text,NO
student_academic_records,fecha_inicio,date,YES
student_guardian,student_id,uuid,NO
student_guardian,is_primary,boolean,YES
student_guardian,guardian_id,uuid,NO
student_guardian,guardian_role,text,YES
student_guardian,id,uuid,NO
student_guardian,created_at,timestamp with time zone,YES
student_guardian_backup_20241222,student_id,uuid,YES
student_guardian_backup_20241222,guardian_id,uuid,YES
student_guardian_backup_20241222,created_at,timestamp with time zone,YES
student_guardian_backup_20241222,guardian_role,text,YES
student_guardian_backup_20241222,id,uuid,YES
student_guardian_backup_20241222,is_primary,boolean,YES
student_guardian_backup_20241222,backup_timestamp,timestamp with time zone,YES
students,n_inscripcion,integer,YES
students,first_name,text,NO
students,apellido_paterno,text,NO
students,run,text,NO
students,email,text,YES
students,fecha_incorporacion,date,YES
students,owner_id,uuid,NO
students,nivel,text,YES
students,nombre_social,text,YES
students,genero,text,YES
students,nacionalidad,text,YES
students,repite_curso_actual,text,YES
students,institucion_procedencia,text,YES
students,direccion,text,YES
students,comuna,text,YES
students,con_quien_vive,text,YES
students,motivo_retiro,text,YES
students,run_verificador,text,YES
students,apellido_materno,text,YES
students,whole_name,text,YES
students,categoria_social,text,YES
students,estado_std,text,YES
students,fecha_retiro,date,YES
students,date_of_birth,date,NO
students,updated_at,timestamp with time zone,YES
students,created_at,timestamp with time zone,YES
students,fecha_matricula,date,YES
students,run_numero,numeric,YES
students,curso,uuid,NO
students,id,uuid,NO
v_current_student_courses,enrollment_status,text,YES
v_current_student_courses,curso_id,uuid,YES
v_current_student_courses,first_name,text,YES
v_current_student_courses,student_id,uuid,YES
v_current_student_courses,nom_curso,character varying,YES
v_current_student_courses,letra_curso,character varying,YES
v_current_student_courses,apellido_materno,text,YES
v_current_student_courses,apellido_paterno,text,YES
v_current_student_courses,whole_name,text,YES
v_current_student_courses,run,text,YES
v_current_student_courses,asistencia_porcentaje,numeric,YES
v_current_student_courses,promedio_anual,numeric,YES
v_current_student_courses,year_academico,integer,YES
v_current_student_courses,nivel,integer,YES
v_student_academic_history,observaciones,text,YES
v_student_academic_history,whole_name,text,YES
v_student_academic_history,student_id,uuid,YES
v_student_academic_history,nom_curso,character varying,YES
v_student_academic_history,estado,text,YES
v_student_academic_history,year_academico,integer,YES
v_student_academic_history,fecha_termino,date,YES
v_student_academic_history,nivel,integer,YES
v_student_academic_history,promedio_anual,numeric,YES
v_student_academic_history,asistencia_porcentaje,numeric,YES
v_student_academic_history,fecha_inicio,date,YES
v_student_academic_history,run,text,YES
